Temperature,pH,Yeast_Concentration,Sugar_Concentration,Ethanol_Yield,Residual_Sugar,Vinasse_Volume
33.9,4.0,1.7,15.9,58.4,6.6,48.1
32.8,4.4,4.4,16.1,79.4,3.1,28.2
31.4,4.9,4.3,16.4,83.6,3.7,25.5
25.8,5.5,3.2,12.4,56.6,5.8,43.7
26.6,4.9,3.8,17.1,79.2,4.7,24.6
34.0,4.4,2.3,10.9,53.3,5.6,47.5
31.1,5.0,2.9,12.0,69.2,3.2,34.9
25.1,4.8,4.3,18.8,70.2,6.7,31.7
26.0,5.2,2.8,17.4,70.4,5.4,33.3
31.6,4.2,2.4,10.1,58.9,5.0,43.7
25.1,5.1,3.0,12.5,53.9,6.4,47.6
26.6,4.8,4.3,12.1,69.4,3.4,35.5
30.5,5.4,2.3,12.7,68.9,4.5,35.4
31.9,4.5,1.7,12.5,60.0,6.6,41.0
31.5,4.9,3.8,10.6,70.2,3.8,32.8
27.2,5.4,4.3,14.6,72.1,4.5,29.9
32.1,4.2,1.4,17.3,63.2,7.6,43.0
27.4,5.4,2.0,16.1,64.4,6.5,38.5
28.3,5.0,1.6,16.7,64.8,6.7,37.7
32.5,4.1,2.4,10.8,57.5,4.6,42.2
31.5,4.5,2.8,19.5,73.9,5.8,36.7
33.5,5.1,4.0,18.4,82.4,4.1,21.9
31.6,4.1,3.6,18.1,82.2,3.2,23.4
30.7,4.9,3.5,18.2,90.9,2.6,18.1
25.9,4.5,2.4,19.3,63.6,7.8,40.3
28.7,4.9,4.4,15.4,82.0,2.6,26.3
27.7,4.1,2.9,12.0,63.9,5.3,42.5
27.4,5.3,4.9,16.2,67.5,5.7,37.0
34.7,5.5,3.5,17.4,70.0,6.2,31.9
28.9,5.5,1.5,17.4,70.2,5.6,33.4
33.9,5.1,3.7,15.2,67.2,5.5,36.9
31.3,4.2,2.3,10.7,57.1,5.3,48.5
32.9,5.1,3.7,13.7,73.7,4.2,28.3
30.0,4.0,1.3,19.2,67.7,5.9,38.3
30.8,4.0,1.7,15.8,65.5,5.5,38.0
29.9,4.5,4.4,15.4,88.2,2.5,21.1
27.0,4.7,1.9,12.7,59.6,5.6,42.1
32.2,5.2,4.3,13.7,70.7,4.2,31.8
27.8,5.0,2.1,19.0,72.2,5.2,33.7
25.2,4.7,3.6,16.7,67.7,5.4,37.2
31.5,4.4,3.8,17.9,89.4,1.1,20.4
26.8,5.5,3.1,14.5,66.7,5.3,36.6
34.4,4.6,2.2,16.3,63.5,6.3,38.0
34.5,4.7,1.9,12.5,53.5,6.0,44.1
34.1,4.2,1.1,17.1,59.6,7.6,44.0
28.7,5.2,2.2,14.3,68.4,5.2,36.1
25.2,5.0,3.6,14.4,61.6,7.2,38.8
34.3,4.3,4.8,16.5,68.1,5.1,34.4
29.3,4.1,4.5,19.4,87.0,3.4,19.4
34.7,5.0,4.1,10.6,56.1,5.7,42.2
34.6,5.0,4.2,18.2,73.2,5.0,29.8
33.5,4.4,3.7,12.9,66.1,5.0,34.9
27.9,5.4,2.0,14.4,63.2,5.7,38.6
28.9,4.2,4.6,10.2,62.7,4.3,38.3
33.5,4.6,3.7,13.0,69.5,5.2,31.1
28.2,5.4,3.2,15.0,77.6,4.0,32.0
26.7,4.6,1.4,10.6,51.1,6.0,50.0
30.6,5.0,2.8,14.9,76.5,3.7,27.2
34.4,4.6,2.8,19.3,63.8,7.0,39.5
32.0,4.4,4.5,11.1,66.6,4.0,37.5
30.7,5.5,3.2,17.6,85.4,3.5,24.0
26.0,4.6,2.5,14.1,62.0,5.2,38.8
31.2,5.3,4.9,16.6,79.1,3.3,28.9
34.9,4.3,1.4,12.6,50.0,7.1,48.9
26.4,4.3,2.7,11.6,54.3,5.4,43.9
30.2,4.0,1.2,11.6,58.9,4.9,44.3
33.8,5.0,4.0,10.7,63.9,4.1,41.5
32.4,4.6,4.7,11.9,63.1,4.2,44.7
32.0,5.3,2.1,16.6,73.0,4.5,29.2
32.0,4.7,4.4,18.8,85.0,3.5,23.4
28.6,5.5,2.2,18.1,76.7,4.1,27.8
27.9,4.3,4.6,16.9,75.2,3.9,31.4
33.1,5.3,4.0,11.1,60.9,4.5,38.4
33.1,5.2,4.2,12.9,67.4,5.0,33.5
33.7,5.2,1.1,13.1,52.4,6.8,46.5
34.1,5.3,4.9,12.5,62.4,5.0,40.2
30.1,5.1,3.9,15.2,88.6,1.9,17.9
30.0,4.9,2.2,15.4,77.3,3.0,29.5
33.0,4.2,4.3,13.6,65.5,5.4,39.6
31.5,4.0,2.1,13.5,65.5,5.4,38.8
32.0,5.4,4.5,18.3,78.7,4.1,30.3
33.0,4.9,1.5,17.9,70.0,6.5,34.8
33.9,5.2,3.8,13.1,64.4,4.6,36.1
28.4,4.7,3.2,19.1,85.4,3.7,24.4
28.8,4.2,1.4,19.5,67.7,7.1,34.6
25.9,4.2,2.0,13.3,53.5,6.7,49.0
30.8,5.0,1.0,13.5,61.1,5.8,44.3
25.4,4.6,2.9,15.1,62.0,6.3,41.3
29.7,4.3,2.2,19.4,77.4,5.5,25.1
30.4,4.7,3.4,18.8,90.6,1.4,15.7
27.9,4.1,2.2,11.0,55.0,5.1,48.7
30.9,4.9,2.2,13.9,70.9,5.0,33.0
25.3,4.4,4.0,15.5,68.1,5.2,35.7
25.4,5.2,1.2,15.0,50.0,8.8,50.0
33.2,4.5,4.6,11.9,64.0,5.6,40.2
28.6,4.7,4.4,18.6,85.4,2.8,22.3
26.3,4.0,3.7,16.8,68.0,6.3,35.2
30.2,4.1,3.4,18.4,83.1,2.9,22.9
32.7,4.6,4.6,18.6,75.8,5.4,31.1
27.2,4.7,1.7,17.5,65.9,6.7,38.4
31.2,4.9,1.3,14.4,63.6,6.0,38.6
25.9,4.4,2.0,16.1,64.2,6.1,40.8
25.5,5.0,4.2,11.6,59.3,4.4,42.3
30.3,5.3,1.1,16.7,69.8,5.9,32.5
30.4,5.2,3.3,11.8,73.5,2.4,29.7
31.4,4.1,5.0,16.9,77.2,4.1,26.3
32.3,4.7,4.4,12.3,70.3,4.5,33.2
34.8,4.2,3.1,11.2,50.2,6.3,50.0
30.2,4.4,1.3,11.7,62.8,5.8,38.1
28.2,5.5,4.3,10.0,66.5,4.2,37.1
33.0,4.2,3.4,17.2,71.1,5.2,31.8
27.7,4.7,1.5,17.3,66.7,6.4,36.1
29.4,4.9,1.4,15.1,68.6,5.3,32.1
25.8,5.1,4.6,11.6,57.1,4.7,43.9
25.3,4.8,3.7,10.8,59.1,4.5,42.3
34.6,4.0,4.3,10.2,51.4,5.2,50.0
33.4,4.5,4.5,11.7,66.9,3.3,36.9
32.0,4.8,3.3,18.9,84.9,3.2,19.7
29.1,4.1,3.1,12.4,69.1,4.1,36.9
26.7,4.5,2.7,13.5,65.3,4.4,38.2
26.6,4.0,2.3,11.1,54.5,5.8,46.8
27.5,4.1,2.7,12.2,59.5,5.9,42.4
30.5,4.6,4.1,15.2,85.2,2.6,20.8
32.1,4.2,3.4,16.1,75.5,4.2,30.1
31.6,4.9,4.6,12.5,74.5,3.8,31.3
27.8,5.0,2.8,10.6,61.2,4.9,37.5
34.5,5.2,3.4,13.9,58.9,6.5,41.8
32.4,4.3,3.5,12.3,65.2,4.4,37.3
30.5,4.3,3.4,12.2,71.9,3.9,33.0
31.1,4.2,3.8,19.6,82.7,4.4,26.2
29.2,5.0,1.9,16.2,78.6,3.5,25.6
27.5,5.1,3.0,15.6,70.1,6.2,32.9
28.6,4.0,1.4,14.2,61.2,5.8,40.0
32.6,5.4,2.5,14.3,67.2,5.2,34.6
25.1,4.1,3.0,15.4,63.9,5.8,38.2
26.2,4.8,3.6,17.0,74.9,4.8,31.6
25.5,5.1,4.8,17.0,69.3,4.9,32.4
25.4,5.3,3.4,11.7,57.7,5.2,44.7
33.6,5.1,4.0,15.0,73.0,3.9,28.2
32.0,5.2,3.0,14.1,70.0,4.8,32.9
29.7,4.5,3.5,18.7,91.2,2.3,16.4
26.0,5.2,1.3,16.3,51.8,9.1,50.0
29.9,4.1,2.0,15.3,73.2,3.4,30.9
29.7,5.3,2.4,11.2,65.2,5.3,33.4
26.7,4.8,2.9,16.1,71.2,5.3,29.1
29.3,5.2,1.2,11.2,61.1,4.4,41.2
29.0,4.7,1.6,13.4,63.6,5.5,40.3
31.2,5.0,2.1,11.4,62.3,4.9,40.9
31.4,4.8,4.9,16.9,87.7,2.0,20.2
25.5,5.1,2.3,12.1,51.7,6.6,50.0
28.7,4.1,2.9,13.9,69.0,4.5,33.7
31.3,4.1,1.8,19.0,69.3,6.3,36.4
30.0,4.4,3.4,12.0,76.7,2.8,25.4
33.6,4.2,2.1,15.1,60.6,5.9,39.7
31.6,5.3,1.8,14.2,61.4,6.2,37.3
26.6,4.3,3.1,10.2,55.1,5.4,45.4
25.7,5.5,1.0,17.9,54.5,9.3,46.3
31.4,4.5,1.0,10.7,53.5,5.9,47.4
25.3,4.3,1.9,14.7,55.0,7.5,46.1
30.9,5.2,1.1,15.6,66.8,5.5,34.7
34.4,5.0,1.4,16.3,54.1,8.7,46.3
30.8,4.7,2.4,16.9,82.5,2.6,21.0
28.9,4.8,4.2,12.5,77.8,2.6,30.5
31.4,5.1,3.3,10.1,67.7,3.1,35.2
29.6,4.3,3.1,17.2,85.2,3.4,20.8
30.5,5.5,2.2,15.4,73.7,5.0,34.2
34.4,5.5,4.7,18.4,68.7,6.6,32.5
28.9,5.0,2.6,18.2,84.3,3.7,20.3
34.6,4.3,1.3,18.4,57.9,8.2,41.5
34.1,5.0,3.5,14.9,67.4,5.6,35.9
27.0,4.1,1.5,13.3,58.6,6.1,44.0
25.7,4.0,2.4,17.9,64.8,7.4,39.7
26.0,4.4,3.0,14.5,64.5,5.7,43.5
25.2,4.7,4.5,11.8,56.2,5.6,40.5
25.9,5.3,3.0,18.5,65.8,7.3,38.6
31.8,5.1,3.8,18.8,85.3,3.5,20.7
25.7,5.1,5.0,14.7,63.4,5.6,38.1
28.2,4.6,1.5,10.8,54.9,5.4,44.8
33.4,4.5,2.1,13.9,60.0,5.6,40.1
25.2,4.6,2.6,18.0,69.0,5.0,38.2
33.1,5.5,2.7,19.0,69.5,6.5,36.1
27.8,4.1,2.6,12.0,58.1,5.9,43.6
26.2,5.3,4.6,10.7,56.7,5.3,47.3
32.0,4.9,3.9,18.8,84.9,2.2,19.1
31.3,4.7,3.4,13.9,76.4,3.5,26.2
33.8,5.1,2.2,15.4,61.6,5.5,36.4
32.4,4.7,4.3,19.7,80.3,5.0,24.4
33.0,5.3,4.8,10.7,56.2,4.7,45.4
27.8,5.4,4.3,16.5,78.3,4.6,27.6
26.8,4.6,1.0,10.7,50.0,6.4,50.0
32.5,4.4,3.5,13.8,64.9,4.9,35.3
33.1,4.9,1.2,18.0,69.2,5.6,36.3
34.9,5.4,2.0,14.3,55.6,7.3,46.0
29.1,4.3,1.2,20.0,65.9,7.1,38.7
28.7,4.9,3.4,15.6,81.7,3.2,20.9
32.8,4.9,3.7,13.2,68.9,4.3,35.5
28.4,5.1,1.5,12.2,62.1,4.2,37.9
34.3,4.2,2.5,13.5,60.1,4.9,41.1
33.6,5.1,2.8,13.7,63.4,5.7,40.4
29.3,5.4,2.5,10.7,64.4,3.9,38.6
32.5,4.3,1.5,13.7,58.0,6.1,41.9
32.5,4.4,2.7,14.6,64.4,6.1,38.5
26.0,5.5,4.0,17.2,72.3,5.9,29.1
34.0,4.3,1.3,16.6,56.9,7.8,46.8
30.1,5.3,1.3,17.1,71.6,5.2,32.3
33.3,4.7,2.4,10.1,55.0,5.3,48.3
28.2,4.4,4.8,12.2,67.3,3.7,35.1
34.0,5.3,3.7,16.6,70.9,5.5,32.2
28.9,4.7,3.7,14.8,82.6,3.2,22.4
25.1,4.8,2.4,10.1,50.0,5.9,50.0
34.1,4.5,3.4,18.0,72.2,4.6,30.8
25.9,4.9,1.0,17.7,57.1,8.1,45.6
28.2,4.2,3.5,15.5,78.5,3.3,26.4
34.5,4.6,4.7,10.7,51.9,5.8,44.6
34.5,5.5,3.5,17.7,70.8,6.0,32.2
30.7,4.4,4.5,15.8,85.7,3.3,19.1
31.3,5.0,3.9,17.8,89.8,1.8,18.2
29.5,4.5,1.5,17.5,69.1,5.8,32.4
27.9,5.2,4.6,18.0,81.4,4.3,26.7
28.3,4.2,1.3,15.2,61.3,6.7,40.8
31.7,5.5,3.1,11.4,61.7,5.5,40.3
32.5,4.7,1.6,16.7,65.8,6.5,38.7
32.9,4.4,1.0,16.2,62.0,6.3,42.3
32.9,4.1,2.7,17.4,71.4,4.9,32.9
25.9,4.3,2.2,11.7,50.3,5.7,48.2
29.9,4.8,2.9,11.9,71.4,4.1,29.3
25.6,4.5,3.3,18.9,68.8,7.1,33.6
30.5,5.2,1.2,17.5,70.6,6.6,32.3
29.4,4.6,1.5,19.1,74.9,5.7,30.3
33.9,4.4,3.2,17.6,70.5,6.4,32.9
28.5,4.9,2.4,16.0,75.7,4.0,30.8
26.2,5.1,3.9,16.5,78.7,3.3,25.8
26.4,4.3,3.6,18.9,74.8,5.7,30.0
32.6,4.3,4.4,15.8,74.3,4.7,33.0
31.2,4.1,3.8,16.3,80.8,3.5,26.0
26.0,5.1,2.7,11.6,55.5,5.9,45.5
25.8,5.0,3.7,14.7,70.7,5.0,32.2
32.0,4.7,2.1,17.2,72.5,5.9,30.8
25.7,5.3,2.2,12.7,54.2,7.1,44.9
33.2,5.2,4.2,12.0,65.3,4.9,36.7
32.1,4.9,2.8,13.1,67.6,5.1,37.4
25.8,5.3,4.2,12.4,58.8,5.9,42.5
25.8,4.3,4.3,12.1,61.3,5.0,38.2
34.9,4.2,4.4,14.2,60.6,6.6,45.0
28.7,4.4,4.7,19.1,83.5,2.8,23.9
28.7,4.1,2.7,15.1,70.1,5.5,31.1
33.1,4.8,2.3,11.9,61.8,4.4,39.7
34.5,5.4,3.3,10.8,52.3,5.9,48.4
34.9,4.1,2.5,17.0,63.1,6.5,42.9
32.5,4.2,3.4,13.8,64.8,5.7,36.0
28.8,4.7,3.8,18.2,91.6,1.7,18.7
25.8,5.4,3.8,16.6,70.8,4.6,36.1
32.8,4.5,2.5,18.0,71.7,5.9,31.4
30.6,4.8,1.7,12.7,67.0,4.4,35.8
29.2,4.1,2.7,16.9,80.0,4.2,23.9
34.1,4.2,1.6,12.6,50.0,7.0,49.6
26.1,5.5,4.6,19.4,69.7,6.7,34.1
29.9,5.4,2.4,16.4,72.2,4.6,33.6
25.1,4.0,1.6,13.2,50.0,7.1,50.0
29.7,5.4,1.1,12.7,62.8,5.0,38.2
25.6,5.0,3.6,11.9,59.3,5.8,38.6
26.2,5.3,3.5,16.9,69.4,6.6,34.4
26.2,4.7,2.4,12.2,56.9,5.4,45.0
31.5,4.8,1.3,16.0,72.0,5.5,32.9
32.5,4.7,2.6,12.6,61.5,4.3,40.2
30.8,5.0,2.2,16.6,75.3,4.0,30.0
34.6,4.2,3.7,18.1,73.3,4.9,34.4
28.7,4.0,3.4,17.8,85.8,2.1,22.1
27.9,4.5,2.5,17.6,74.5,4.2,29.6
33.7,5.1,1.9,11.9,51.4,6.6,47.9
27.2,4.3,5.0,10.9,63.7,4.3,38.7
34.6,5.0,2.8,17.0,69.2,6.0,37.9
25.1,5.5,3.8,13.7,61.6,6.2,40.3
34.7,4.1,1.6,14.3,50.0,8.1,50.0
25.4,5.0,2.9,10.3,53.1,5.7,46.6
33.9,4.7,1.1,12.6,50.8,6.9,50.0
30.3,5.3,3.0,10.3,67.1,3.2,40.2
34.9,4.3,4.9,18.8,67.8,7.3,36.7
25.7,5.0,2.5,12.4,58.3,5.5,43.6
30.5,5.3,1.2,15.6,64.4,5.7,38.6
34.7,5.4,1.1,10.4,52.8,5.4,43.0
30.2,5.0,2.6,16.7,82.6,2.8,25.4
31.3,4.7,1.6,13.2,66.0,4.8,37.4
32.0,4.9,1.1,19.0,69.3,6.6,35.4
29.5,5.3,4.0,18.9,88.0,2.7,18.2
31.3,4.9,2.8,13.3,72.3,3.6,31.4
30.8,4.0,2.2,19.0,72.2,5.6,31.5
34.0,5.4,4.6,20.0,64.2,8.5,40.7
25.5,5.0,1.5,18.3,60.4,8.3,40.9
27.8,5.0,4.8,18.4,85.3,4.0,25.9
34.5,4.3,2.3,12.5,50.0,7.5,50.0
33.9,5.0,4.6,15.8,70.4,5.8,31.2
29.6,4.6,3.4,10.7,72.5,2.6,31.8
31.2,5.0,4.3,10.9,71.3,3.9,31.7
27.8,4.2,4.9,20.0,72.1,6.2,27.9
26.9,5.0,2.2,13.3,58.0,5.9,46.8
29.6,5.5,4.8,17.5,84.3,3.1,24.0
